2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,313 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,314 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,315 INFO Created tuple for (origin, destination)
